absolute_url_path,base_path,fragment,sources.label,sources.source
/writing/amis.htm,/writing/amis.htm,,Amis_using_Latin / Roman,langalphMap.json
/writing/amkoe.htm,/writing/amkoe.htm,,ǂʼAmkoe (ǂHoan),language.csv
/writing/amkoe.htm,/writing/amkoe.htm,,ǂʼAmkoe (ǂHoan)_using_Latin / Roman,langalphMap.json
/writing/ancashquechua.htm,/writing/ancashquechua.htm,,Quechua (Ancash),language.csv
/writing/ancashquechua.htm,/writing/ancashquechua.htm,,Ancash Quechua_using_Latin / Roman,langalphMap.json
/writing/andi.htm,/writing/andi.htm,,Andi,language.csv
/writing/andi.htm,/writing/andi.htm,,Andi_using_Cyrillic,langalphMap.json
/writing/andoa.htm,/writing/andoa.htm,,Andoa,language.csv
/writing/andoa.htm,/writing/andoa.htm,,Andoa_using_Latin / Roman,langalphMap.json
/writing/andoque.htm,/writing/andoque.htm,,Andoque,language.csv
/writing/andoque.htm,/writing/andoque.htm,,Andoque_using_Latin / Roman,langalphMap.json
/writing/aneityum.htm,/writing/aneityum.htm,,Aneityum,language.csv
/writing/aneityum.htm,/writing/aneityum.htm,,Aneityum_using_Latin / Roman,langalphMap.json
/writing/angami.htm,/writing/angami.htm,,Angami,language.csv
/writing/angami.htm,/writing/angami.htm,,Angami_using_Latin / Roman,langalphMap.json
/writing/angika.htm,/writing/angika.htm,,Angika,language.csv
/writing/angika.htm,/writing/angika.htm,,Angika_using_Devanagari,langalphMap.json
/writing/anii.htm,/writing/anii.htm,,Anii,language.csv
/writing/anii.htm,/writing/anii.htm,,Anii_using_Latin / Roman,langalphMap.json
/writing/anindilyakwa.htm,/writing/anindilyakwa.htm,,Anindilyakwa,language.csv
/writing/anindilyakwa.htm,/writing/anindilyakwa.htm,,Anindilyakwa_using_Latin / Roman,langalphMap.json
/writing/anuak.htm,/writing/anuak.htm,,Anuak,language.csv
/writing/anuak.htm,/writing/anuak.htm,,Anuak_using_Latin / Roman,langalphMap.json
/writing/anuki.htm,/writing/anuki.htm,,Anuki,language.csv
/writing/anuki.htm,/writing/anuki.htm,,Anuki_using_Latin / Roman,langalphMap.json
/writing/anutan.htm,/writing/anutan.htm,,Anutan,language.csv
/writing/anutan.htm,/writing/anutan.htm,,Anutan_using_Latin / Roman,langalphMap.json
/writing/anyin.htm,/writing/anyin.htm,,Anyin,language.csv
/writing/anyin.htm,/writing/anyin.htm,,Anyin_using_Latin / Roman,langalphMap.json
/writing/apache.htm,/writing/apache.htm,,Apache (Western),language.csv
/writing/apache.htm,/writing/apache.htm,,Apache (Western)_using_Latin / Roman,langalphMap.json
/writing/apatani.htm,/writing/apatani.htm,,Apatani,language.csv
/writing/apatani.htm,/writing/apatani.htm,,Apatani_using_Latin / Roman,langalphMap.json
/writing/apma.htm,/writing/apma.htm,,Apma,language.csv
/writing/apma.htm,/writing/apma.htm,,Apma_using_Latin / Roman,langalphMap.json
/writing/apurina.htm,/writing/apurina.htm,,Apurinã,language.csv
/writing/apurina.htm,/writing/apurina.htm,,Apurinã_using_Latin / Roman,langalphMap.json
/writing/arabela.htm,/writing/arabela.htm,,Arabela,language.csv
/writing/arabela.htm,/writing/arabela.htm,,Arabela_using_Latin / Roman,langalphMap.json
/writing/arabic.htm,/writing/arabic.htm,,Arabic (Modern Standard),language.csv
/writing/arabic.htm,/writing/arabic.htm,,Arabic,writing.csv
/writing/arabic.htm,/writing/arabic.htm,,Arabic_for_107_languages,langalphMap.json
/writing/arabic.htm,/writing/arabic.htm,,Arabic (Modern Standard)_using_Arabic,langalphMap.json
/writing/arabic_algerian.htm,/writing/arabic_algerian.htm,,Arabic (Algerian),language.csv
/writing/arabic_algerian.htm,/writing/arabic_algerian.htm,,Arabic (Algerian)_using_Arabic,langalphMap.json
/writing/arabic_bedawi.htm,/writing/arabic_bedawi.htm,,Arabic (Bedawi),language.csv
/writing/arabic_bedawi.htm,/writing/arabic_bedawi.htm,,Arabic (Bedawi)_using_Arabic,langalphMap.json
/writing/arabic_chadian.htm,/writing/arabic_chadian.htm,,Arabic (Chadian),language.csv
/writing/arabic_chadian.htm,/writing/arabic_chadian.htm,,Arabic (Chadian)_using_Arabic,langalphMap.json
/writing/arabic_egypt.htm,/writing/arabic_egypt.htm,,Arabic (Egyptian),language.csv
/writing/arabic_egypt.htm,/writing/arabic_egypt.htm,,Arabic (Egyptian)_using_Arabic,langalphMap.json
/writing/arabic_gulf.htm,/writing/arabic_gulf.htm,,Arabic (Gulf),language.csv
/writing/arabic_gulf.htm,/writing/arabic_gulf.htm,,Arabic (Gulf)_using_Arabic,langalphMap.json
/writing/arabic_hassaniya.htm,/writing/arabic_hassaniya.htm,,Arabic (Hassaniya),language.csv
/writing/arabic_hassaniya.htm,/writing/arabic_hassaniya.htm,,Arabic (Hassaniya)_using_Arabic,langalphMap.json
/writing/arabic_hejazi.htm,/writing/arabic_hejazi.htm,,Arabic (Hejazi),language.csv
/writing/arabic_hejazi.htm,/writing/arabic_hejazi.htm,,Arabic (Hejazi)_using_Arabic,langalphMap.json
/writing/arabic_libyan.htm,/writing/arabic_libyan.htm,,Arabic (Libyan),language.csv
/writing/arabic_libyan.htm,/writing/arabic_libyan.htm,,Arabic (Libyan)_using_Arabic,langalphMap.json
/writing/arabic_moroccan.htm,/writing/arabic_moroccan.htm,,Arabic (Moroccan),language.csv
/writing/arabic_moroccan.htm,/writing/arabic_moroccan.htm,,Arabic (Moroccan)_using_Arabic,langalphMap.json
/writing/arabic_najdi.htm,/writing/arabic_najdi.htm,,Arabic (Najdi),language.csv
/writing/arabic_najdi.htm,/writing/arabic_najdi.htm,,Arabic (Najdi)_using_Arabic,langalphMap.json
/writing/arabic_sudanese.htm,/writing/arabic_sudanese.htm,,Arabic (Sudanese),language.csv
/writing/arabic_sudanese.htm,/writing/arabic_sudanese.htm,,Arabic (Sudanese)_using_Arabic,langalphMap.json
/writing/arabic_syrian.htm,/writing/arabic_syrian.htm,,Arabic (Syrian),language.csv
/writing/arabic_syrian.htm,/writing/arabic_syrian.htm,,Arabic (Syrian)_using_Arabic,langalphMap.json
/writing/arabic_tunisian.htm,/writing/arabic_tunisian.htm,,Arabic (Tunisian),language.csv
/writing/arabic_tunisian.htm,/writing/arabic_tunisian.htm,,Arabic (Tunisian)_using_Arabic,langalphMap.json
/writing/aragonese.php,/writing/aragonese.php,,Aragonese,language.csv
/writing/aragonese.php,/writing/aragonese.php,,Aragonese_using_Latin / Roman,langalphMap.json
/writing/arakanese.htm,/writing/arakanese.htm,,Arakanese,language.csv
/writing/arakanese.htm,/writing/arakanese.htm,,Arakanese_using_Burmese / Myanmar,langalphMap.json
/writing/araki.htm,/writing/araki.htm,,Araki,language.csv
/writing/araki.htm,/writing/araki.htm,,Araki_using_Latin / Roman,langalphMap.json
/writing/aramaic.htm,/writing/aramaic.htm,,Aramaic,language.csv
/writing/aramaic.htm,/writing/aramaic.htm,,Aramaic,writing.csv
/writing/aramaic.htm,/writing/aramaic.htm,,Aramaic,langalphSingle.csv
/writing/aramaic.htm,/writing/aramaic.htm,,Aramaic_using_Hebrew,langalphMap.json
/writing/aramaic.htm,/writing/aramaic.htm,,Aramaic_using_Syriac,langalphMap.json
/writing/aranese.htm,/writing/aranese.htm,,Aranese,language.csv
/writing/aranese.htm,/writing/aranese.htm,,Aranese_using_Latin / Roman,langalphMap.json
/writing/arapaho.htm,/writing/arapaho.htm,,Arapaho,language.csv
/writing/arapaho.htm,/writing/arapaho.htm,,Arapaho_using_Latin / Roman,langalphMap.json
/writing/arawak.htm,/writing/arawak.htm,,Arawak,language.csv
/writing/arawak.htm,/writing/arawak.htm,,Arawak_using_Latin / Roman,langalphMap.json
/writing/arberesh.htm,/writing/arberesh.htm,,Arbëresh,language.csv
/writing/arberesh.htm,/writing/arberesh.htm,,Arbëresh_using_Latin / Roman,langalphMap.json
/writing/archi.htm,/writing/archi.htm,,Archi,language.csv
/writing/archi.htm,/writing/archi.htm,,Archi_using_Cyrillic,langalphMap.json
/writing/are.htm,/writing/are.htm,,Are,language.csv
/writing/are.htm,/writing/are.htm,,Are_using_Latin / Roman,langalphMap.json
/writing/areare.htm,/writing/areare.htm,,ꞌAreꞌare,language.csv
/writing/areare.htm,/writing/areare.htm,,ꞌAreꞌare_using_Latin / Roman,langalphMap.json
/writing/argobba.htm,/writing/argobba.htm,,Argobba,language.csv
/writing/argobba.htm,/writing/argobba.htm,,Argobba_using_Ge'ez (Ethiopic),langalphMap.json
/writing/arhuaco.htm,/writing/arhuaco.htm,,Arhuaco,language.csv
/writing/arhuaco.htm,/writing/arhuaco.htm,,Arhuaco_using_Latin / Roman,langalphMap.json
/writing/arikara.htm,/writing/arikara.htm,,Arikara,language.csv
/writing/arikara.htm,/writing/arikara.htm,,Arikara_using_Latin / Roman,langalphMap.json
/writing/aringa.htm,/writing/aringa.htm,,Aringa,language.csv
/writing/aringa.htm,/writing/aringa.htm,,Aringa_using_Latin / Roman,langalphMap.json
/writing/arleng.htm,/writing/arleng.htm,,Arleng,writing.csv
/writing/armenian.htm,/writing/armenian.htm,,Armenian (Eastern),language.csv
/writing/armenian.htm,/writing/armenian.htm,,Armenian (Western),language.csv
/writing/armenian.htm,/writing/armenian.htm,,Armenian,writing.csv
/writing/armenian.htm,/writing/armenian.htm,,Armenian_for_2_languages,langalphMap.json
/writing/armenian.htm,/writing/armenian.htm,,Armenian (Eastern and Western)_using_Armenian,langalphMap.json
/writing/armenoturkish.htm,/writing/armenoturkish.htm,,Armeno-Turkish,writing.csv
/writing/armenoturkish.htm,/writing/armenoturkish.htm,,Armeno-Turkish_using_Armenian,langalphMap.json
/writing/aromanian.htm,/writing/aromanian.htm,,Aromanian,language.csv
/writing/aromanian.htm,/writing/aromanian.htm,,Aromanian_using_Latin / Roman,langalphMap.json
/writing/arosi.htm,/writing/arosi.htm,,Arosi,language.csv
/writing/arosi.htm,/writing/arosi.htm,,Arosi_using_Latin / Roman,langalphMap.json
/writing/arrernte.htm,/writing/arrernte.htm,,Arrernte,language.csv
