base_path,file_exists,fragment,path,sources.label,sources.source
braj.htm,True,,braj.htm,Braj,language.csv
brao.htm,True,,brao.htm,Brao,language.csv
breton.htm,True,,breton.htm,Breton,language.csv
bribri.htm,True,,bribri.htm,Bribri,language.csv
bruneimalay.htm,True,,bruneimalay.htm,Brunei Malay,language.csv
bube.htm,True,,bube.htm,Bube,language.csv
budu.htm,True,,budu.htm,Budu,language.csv
budukh.htm,True,,budukh.htm,Budukh,language.csv
bugan.htm,True,,bugan.htm,Bugan,language.csv
bugis.htm,True,,bugis.htm,Bugis,language.csv
bugkalot.htm,True,,bugkalot.htm,Bugkalot,language.csv
buglere.htm,True,,buglere.htm,Buglere,language.csv
buhid.htm,True,,buhid.htm,Buhid,language.csv
buhid.htm,True,,buhid.htm,Buhid,writing.csv
buhid.htm,True,,buhid.htm,Buhid,langalphSingle.csv
buhutu.htm,True,,buhutu.htm,Buhutu,language.csv
bujeba.htm,True,,bujeba.htm,Bujeba,language.csv
bukar-sadong.htm,True,,bukar-sadong.htm,Bukar–Sadong,language.csv
bukid.htm,True,,bukid.htm,Bukid,language.csv
bukiyip.htm,True,,bukiyip.htm,Bukiyip,language.csv
bukusu.htm,True,,bukusu.htm,Bukusu,language.csv
bulgarian.htm,True,,bulgarian.htm,Bulgarian,language.csv
bulu.htm,True,,bulu.htm,Bulu,language.csv
bunak.htm,True,,bunak.htm,Bunak,language.csv
bundjalung.htm,True,,bundjalung.htm,Bundjalung,language.csv
bungku.htm,True,,bungku.htm,Bungku,language.csv
bunun.htm,True,,bunun.htm,Bunun,language.csv
buol.htm,True,,buol.htm,Buol,language.csv
burarra.htm,True,,burarra.htm,Burarra,language.csv
burmese.htm,True,,burmese.htm,Burmese (Myanmar),language.csv
burmese.htm,True,,burmese.htm,Burmese,writing.csv
burmese.htm,True,,burmese.htm,Burmese / Myanmar_for_15_languages,langalphMap.json
burum.htm,True,,burum.htm,Burum,language.csv
burushaski.php,True,,burushaski.php,Burushaski,language.csv
buryat.htm,True,,buryat.htm,Buryat,language.csv
busa.htm,True,,busa.htm,Busa,language.csv
bushi.htm,True,,bushi.htm,Bushi,language.csv
bushong.htm,True,,bushong.htm,Bushong,language.csv
butuanon.htm,True,,butuanon.htm,Butuanon,language.csv
bwaidoka.htm,True,,bwaidoka.htm,Bwaidoka,language.csv
caac.htm,True,,caac.htm,Caac,language.csv
cabecar.htm,True,,cabecar.htm,Cabécar,language.csv
caddo.htm,True,,caddo.htm,Caddo,language.csv
